,Package,Description,Tests
301,lactate dehydrogenase ldh serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Lactate dehydrogenase (LDH) test helps to detect conditions that are responsible for causing tissue damage. Examples include diseases of the liver or blood. It helps to monitor the progress of tissue damage and determines prognosis. It is also used to evaluate response to cancer treatment and body fluids other than blood. The lactate dehydrogenase test is done: • In case of tissue damage • To detect cancer • In case of symptoms of meningitis • In case of fluid accumulation in specific parts of the body
Read More","Test(s) Included (1)
LACTATE DEHYDROGENASE (LDH) - SERUM
1 Test Included"
302,apollo kidney check basic ,"About
Sample
URINE, BLOOD
Gender
Both
Age group
7 years & above
Curated by Dr Venkatesh Rajkumar, the Apollo Kidney Check - Basic test package comprises tests like urine routine, glucose serum, serum creatinine and GGT serum to understand if your kidneys are at risk. This is a routine kidney examination that is recommended for people who are witnessing signs like loss of appetite, fatigue, nausea, frequent urination, and swelling in feet and ankles. This test is also taken by people who have a family history of kidney disorders.
Kidneys are the vital organ that helps expel urine from the body. They filter approximately a cup of blood every two minutes and remove the waste through urine.



Read More","Test(s) Included (21)
Kidney (19)
Liver (1)
Others (1)"
303,apollo kidney check advance ,"About
Sample
URINE, BLOOD
Gender
Both
Age group
7 years & above
Curated by Dr Saravanan M, the Apollo Kidney Check - Basic test package comprises tests like KFT, urine routine, CBC, glucose serum, calcium serum, protein total serum, MAU, and eGFR to understand if you are suffering from a chronic kidney problem. This examination is recommended for people who are witnessing classic signs of kidney problems like loss of appetite, fatigue, nausea, decreased urine output, and fluid retention in the body.
It is relatively tough to tell if you have kidney disease. The kidney is one of the most critical organs in the human body and is responsible for filtering waste. Only a kidney test can tell if you have kidney disease. However, a few symptoms can also indicate the presence of kidney dysfunction or damage. These include:

Read More","Test(s) Included (69)
Kidney (38)
Blood Studies (Anemia) (29)
Bone (1)
Diabetes (1)"
304,apollo diabetes panel advance female ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Anusha, the Apollo Diabetes Panel - Advance comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT, cholesterol, vitamin B12, vitamin D, calcium and creatinine serum to monitor if diabetes is putting you at risk of liver or kidney failure, heart diseases, vitamin deficiencies and any other serious illnesses. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
Diabetes is one of the most common diseases that affect people all over the world. It is characterised by too high blood glucose levels. The condition is linked to multiple health complications. It is worth mentioning that the risk of certain diabetes complications, such as heart disease and kidney disease, is higher in women than men. The Apollo Diabetes Panel - Advance Female is a comprehensive set of 78 tests across eight screening categories. All eight categories look at different organs and bodily functions to offer an accurate diagnosis of diabetes.

Read More","Test(s) Included (81)
Diabetes (2)
Vitamin (1)
Blood Studies (Anemia) (29)
Kidney (3)
Heart (Cardiac) (8)
Liver (10)
Others (28)"
305,apollo fever panel advance ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Ashish Chauhan, Apollo Fever Panel - Advance package consists of tests like the Widal test, malaria parasite test, chikungunya, Weil Felix, and typhoid test, which are essential to identify the underlying cause of fever. These tests are usually recommended for people who get a frequent fever that is accompanied by chills, nausea, and body pain.
Fever is one of the most common ailments that can affect just anyone. Even though suffering from fever is not life-threatening, if left untreated, it can potentially lead to severe complications. In general, fever is characterised by a sudden increase in body temperature.

Read More","Test(s) Included (66)
Fever (7)
Infection (9)
Kidney (19)
Liver (2)
Blood Studies (Anemia) (29)"
306,apollo fever panel essential ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Curated by Dr Bharani, Apollo Fever Panel - Essential package consists of tests like ESR, Widal test, and malaria parasite test, which is essential to identify the underlying cause of fever. These tests are usually recommended for people who get a frequent fever that is accompanied by chills, nausea, and body pain.
A temporary increase in the body's temperature is known as fever. It can affect both children and adults. However, fever is not a life-threatening problem and can be addressed using the appropriate medical methods.

Read More","Test(s) Included (30)
Fever (7)
Infection (2)
Kidney (8)
Heart (Cardiac) (3)
Liver (10)"
307,apollo fever panel basic ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Vamsi, Apollo Fever Panel - Basic package consists of tests like CBC, SGOT, SGPT, complete urine examination, and ESR, which are essential to identify the underlying cause of fever. These tests are usually recommended for people who get a frequent fever that is accompanied by chills, nausea, and body pain.
The top Apollo Fever Panel - Basic packages are available in Anna Nagar, Alwarpet, T. Nagar, Adyar, Velachery.
A temporary spike in the body's temperature is termed a fever. It is caused by the hypothalamus – the part of the brain responsible for maintaining normal body temperature. When the immune system detects an infection in the body, it triggers complex processes that produce more heat and activates the hypothalamus to increase the body’s temperature.
Read More","Test(s) Included (52)
C - Reactive Protein CRP (Quantitative)
1 Test Included
Aspartate Aminotransferase (AST/SGOT), Serum
1 Test Included
ERYTHROCYTE SEDIMENTATION RATE (ESR)
1 Test Included
Creatinine, Serum
2 Tests Included
Alanine Aminotransferase (ALT/SGPT), Serum
1 Test Included
Complete Urine Examination
17 Tests Included
COMPLETE BLOOD COUNT (CBC)
29 Tests Included"
308,apollo heart check essential ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Heart-related conditions can be challenging to detect with a single diagnostic tool. Due to this, medical professionals often rely on an extensive collection of clinical examinations to determine the existence of underlying complications or issues.
Apollo Heart Check - Essential is a comprehensive cardiac health assessment package. The panel includes 69 individual assessments that fall under the following categories:
Heart (Cardiac) Examination: A heart test panel includes two core assessments, that being the lipoprotein A (LP-A) and a High-Sensitivity C-Reactive Protein (HS-CRP) test. As such, an LP-A helps detect hardening in the arteries or inflammation in the vascular walls. Meanwhile, an HS-CRP test helps predict the possibility of Peripheral vascular diseases, acute heart failure and myocardial infarctions (heart attacks)

Read More","Test(s) Included (72)
Heart (Cardiac) (9)
Diabetes (1)
Blood Studies (Anemia) (29)
Others (33)"
309,apollo heart check basic ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
The Apollo Heart Check - Basic is a comprehensive panel of 63 tests designed to evaluate the health of your heart. This test is essential in diagnosing and monitoring various cardiac conditions. By analyzing different parameters in the blood and urine samples, this panel provides valuable insights into the functioning of your heart. Some of the common symptoms that may indicate the need for a basic heart check, such as the Apollo Heart Check - Basic, include: - Chest pain or discomfort - Shortness of breath - Fatigue or weakness - Irregular heartbeat - Dizziness or lightheadedness - Palpitations For the Apollo Heart Check - Basic, blood and urine samples are required. The blood sample is obtained through a simple venipuncture procedure. A trained phlebotomist will collect a small amount of blood from a vein in your arm using a sterile needle and vial. The urine sample can be collected at home by following the provided instructions for a clean-catch midstream collection. Once the blood and urine samples are collected, they are sent to the laboratory for analysis. The blood samples are analyzed for various cardiac markers, including cholesterol levels, glucose levels, and lipid profiles. The urine sample is examined for the presence of abnormal substances that may indicate kidney dysfunction or other related conditions. In the case of a positive diagnosis or abnormal test results, it is crucial to consult with a healthcare provider. They will provide appropriate treatment options based on your specific condition. Treatment may include medication, lifestyle modifications, dietary changes, and, in some cases, surgical interventions. If you're looking for a convenient and reliable way to get a basic heart check done, booking an appointment at Apollo 24|7 is a great choice. Here are the benefits of getting an early test done at Apollo 24|7: 1. Early identification of cardiac conditions allows for timely intervention and management, reducing the risk of complications. 2. Early diagnosis enables healthcare providers to tailor treatment plans based on individual needs, improving overall outcomes. 3. The Apollo Heart Check - Basic provides a comprehensive assessment of cardiac health, helping detect potential issues before they manifest as noticeable symptoms.
Read More","Test(s) Included (69)
Heart (Cardiac) (8)
Blood Studies (Anemia) (29)
Kidney (31)
Others (1)"
310,apollo full body checkup female advance ,"About
Sample
BLOOD, URINE
Gender
Female
Age group
7 years & above
Curated by Dr Ashish Chauhan, the Apollo Fully Body Checkup - Advance comprises tests like CBC, ESR, LFT, KFT, CRP, complete urine examination, thyroid profile, iron, uric acid, vitamins B12 and D3, serum creatinine and electrolytes, cholesterol, calcium and fasting blood sugar to screen organs like heart, liver, thyroid, bones and kidneys for various health conditions and diseases. This checkup should be done annually by every individual above the age of 20 years, as it is a preventive diagnostic evaluation. It should also be done by people suffering from any organ disorder. You must undergo periodic routine tests to prevent health complications and significant illness. Opting for a full body health checkup can help you assess your body vitals without any hassle. A complete body checkup offers the following major benefits: It helps you determine the overall level of fitness A full body test helps doctors detect life-threatening diseases like cancers It is a preventive and comprehensive health checkup that can help you make lifestyle alterations Such a diagnostics test can help you manage genetic diseases in a better way Overall, a complete body checkup can help you avoid diseases and save money in the long run. For instance, with such a comprehensive evaluation, you can prevent the requirement of surgeries or prolonged treatments that can prove quite expensive. Usually, a full body health checkup consists of a blood test that evaluates several health parameters. In addition, you also have to provide your urine sample to allow the pathology experts to determine urinary tract infections (UTIs), diabetes, or kidney diseases. A full body test includes the following types of sub-evaluations: Glucose Testing: These tests include HbA1c, and glucose fasting for blood sugar level determination. Notably, this analysis helps assess diabetes. Blood Study: There are twenty-eight tests under this category aim to evaluate anaemia and Hb levels, provide important information about a person's overall health, and help diagnose a wide range of medical conditions. Cancer Screening: This has essential tools for detecting cancer in its early stages when treatment is often more effective, and the chances of survival are higher. Renal Function Test: It is a group test that checks levels of creatinine, uric acid, blood urea, chloride, potassium and sodium to assess if the kidneys are functioning properly. It checks for kidney problems such as infections, kidney stones, and chronic kidney diseases. Vitamin Test: Vitamin tests, which measure the levels of various vitamins like B12 and D in the body, are used to diagnose vitamin deficiencies or excesses, which can cause a range of health problems and affect overall well-being Infection Test: This blood test category consists of 2 evaluations that measure aspects like erythrocyte sedimentation rate and C-reactive protein levels. Thyroid Profile: It includes four tests that measure the levels of thyroid hormones in the blood and is used to diagnose thyroid disorders such as hypothyroidism and hyperthyroidism and to monitor the effectiveness of treatment Liver Function Test: It is a group test that checks levels of bilirubin, ALT/SGPT, AST/SGOT, alkaline phosphatase and albumin to assess if the liver is functioning properly. Apollo 24|7 offers an all-inclusive complete body checkup comprising all the above test categories. In addition, our full body checkup package includes an iron studies module and routine evaluations like CBC and lipid profile. Physicians recommend a full body test from a reliable pathology lab brand. Notably, you can receive our full body health checkup reports within six days in most cases. So, ensure you consult your family physician and benefit from a comprehensive health checkup at Apollo 24|7.  
Read More","Test(s) Included (95)
Blood Studies (Anemia) (29)
Thyroid (4)
Liver (10)
Kidney (31)
Heart (Cardiac) (8)
Vitamin (2)
Diabetes (3)
Others (1)
Bone (1)
Iron Studies (1)
Infection (2)
Hepatitis Screening (2)
Cancer Screening (1)"
311,apollo full body checkup essential ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Full Body Checkup In Chennai
Introduction
A busy lifestyle, along with lengthy periods of inactivity and poor eating habits, can have a significant impact on your overall health. To reduce the potential risks to your health down the road, it's essential to consistently monitor your health parameters. A comprehensive full body checkup can provide detailed insights into your important health indicators. The checkup can aid in the early detection of potential health issues, allowing individuals to make proactive efforts towards regaining their maximum health.













Read More","Test(s) Included (79)
Blood Studies (Anemia) (29)
Heart (Cardiac) (11)
Liver (10)
Kidney (22)
Others (1)
Thyroid (1)
Vitamin (1)
Infection (2)
Hepatitis Screening (2)"
312,apollo diabetes panel advance male ,"About
Sample
BLOOD, URINE
Gender
Male
Age group
7 years & above
Curated by Dr Anusha, the Apollo Diabetes Panel - Advance comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT, cholesterol, vitamin B12, vitamin D, calcium and creatinine serum to monitor if diabetes is putting you at risk of liver or kidney failure, heart diseases, vitamin deficiencies and any other serious illnesses. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
There are various tests for diagnosing diabetes nowadays. These medical evaluations include the assessment of your blood sugar levels and help diagnose the presence of diabetes. A diabetes test panel covers an in-depth analysis of various health facets.

Read More","Test(s) Included (81)
Diabetes (2)
Vitamin (2)
Kidney (20)
Blood Studies (Anemia) (29)
Heart (Cardiac) (8)
Liver (10)
Others (10)"
313,apollo diabetes panel essential ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Sravya, the Apollo Diabetes Panel - Essential comprises tests like fasting, PP, HbA1c, complete urine examination, CBC, LFT and creatinine serum to monitor if diabetes is putting you at risk of vision loss, kidney failure, or heart disease. This test should be taken by people of all age group who are either prediabetic, diabetic or has a family history of diabetes.
Diabetes is one of the most common chronic health problems and affects the production or use of insulin. This directly leads to irregular glucose (blood sugar) levels in the body. As such, a Diabetes Test can not only monitor the condition and its related effects but also accurately pinpoint whether an individual is at risk of developing it.

Read More","Test(s) Included (77)
Diabetes (2)
Blood Studies (Anemia) (29)
Kidney (3)
Heart (Cardiac) (8)
Liver (10)
Others (25)"
314,apollo diabetes panel basic ,"About
Sample
BLOOD, URINE
Gender
Both
Age group
7 years & above
Curated by Dr Sridevi, the Apollo Diabetes Panel - Basic comprises tests like CBC, fasting, LFT, and electrolytes serum that can not only monitor diabetes and its related effects but also accurately pinpoint whether an individual is at risk of developing other serious illnesses owing to diabetes. This test should be taken by people who are prediabetic, diabetic, or has a family history of diabetes.
Diabetes is a chronic health condition in which your body fails to generate sufficient insulin. Due to this malfunction, there is a build-up of excess blood sugar or glucose in your body. Over time, this health disorder can lead to vision loss, kidney failure, or heart disease.

Read More","Test(s) Included (53)
Diabetes (2)
Kidney (17)
Blood Studies (Anemia) (29)
Others (5)"
315,thyroid profile total t3 t4 tsh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Thyroid Profile
Test Overview
Sample Type     Blood
Reports Delivery     10 Hrs
Price/Cost     ₹620
Number of Tests Included    4
With the rising incidence of chronic and acute health conditions, the significance of prioritising health cannot be overstated. Being proactive about our health checks, such as getting a regular thyroid profile test, is not just about disease prevention, but also about embracing a healthier lifestyle.
The top Thyroid Profile tests are available in Anna Nagar, Alwarpet, T. Nagar
Read More","Test(s) Included (4)
Thyroid Profile (Total T3, Total T4, TSH)
4 Tests Included"
316,thyroid stimulating hormone tsh serum ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Thyroid Stimulating Hormone (TSH) is the primary hormone of your pituitary gland that regulates the function of your thyroid gland. Physicians depend on the serum TSH test because it keeps the production of all the other hormones in check. Also, the TSH hormone acts as the signalling molecule that guides your thyroid gland to release other thyroid hormones in the blood. Hence, the serum TSH test is an essential parameter for understanding the functioning of the thyroid gland.

Read More","Test(s) Included (1)
Thyroid Stimulating Hormone (TSH), Serum
1 Test Included"
317,thyroid profile free ft3 ft4 tsh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The lower-front spot in your neck houses the tiny thyroid gland. It’s accountable for the regulation of several bodily processes like your energy generation, metabolism and mood. The gland produces two primary hormones: T3 (Triiodothyronine) and T4 (Thyroxine).
In some instances, the gland may not produce enough hormones, resulting in energy depletion, weight gain and depression. This is termed hypothyroidism. It can occur due to the following factors:
Thyroid gland removal
Read More","Test(s) Included (4)
Thyroid Profile - Free (FT3, FT4, TSH)
4 Tests Included"
318,anti mullerian hormone amh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Anti-Müllerian Hormone (AMH) is produced in the reproductive tissues of both females and males. The hormone plays a crucial role in the development of sex organs in an unborn baby. At a later stage, these hormones assume different roles to be played at puberty.
An AMH is firstly made in primary follicles that are difficult to observe using microscopic analysis. It is possible to opt for an AMH test any day of the cycle because it remains constant in women’s blood. That is because as follicles grow, the production of this hormone decreases and eventually stops.

Read More","Test(s) Included (1)
ANTI MULLERIAN HORMONE (AMH)
1 Test Included"
319,tsh receptor antibodies ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
TSH receptor antibodies are specialized proteins that attach to the thyroid gland’s TSH receptors. This in turn then stimulates the thyroid gland to produce excess amounts of thyroid hormones. This test is useful in the diagnosis of Grave's disease which is one of the most common type of hyperthyroidism. The test may also be used to assess the response to the treatment.
Read More","Test(s) Included (1)
TSH RECEPTOR ANTIBODIES
1 Test Included"
320,prolactin ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Prolactin test helps to investigate galactorrhea (unexplained flow of breast milk), abnormal discharge from nipples, irregular or absence of menstrual periods, and/or infertility in women. In men, this test helps to diagnose the cause of erectile dysfunction, decreased libido. This test also detects prolactinoma (a pituitary tumor that produces prolactin) and is also used to monitor the ongoing treatment of prolactinoma. The Prolactin test is done: • In case of signs and symptoms of increased levels of prolactin • In case of infertility problems • In case of follow-up for treatment of macroprolactin • In case of low levels of testosterone in men • To detect and monitor prolactinoma
Read More","Test(s) Included (1)
PROLACTIN
1 Test Included"
321,fsh lh prolactin ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Follicle-stimulating hormone (FSH) test helps to determine the fertility issues, helps to test the health of ovaries or testicles, and helps in checking the functioning of the pituitary gland. Luteinizing hormone is also known as Interstitial Cell Stimulating Hormone. Luteinizing hormone test helps to evaluate fertility issues. It helps in evaluating the health of reproductive organs (testicles or ovaries). In women, this test helps to determine ovulation time. This test also helps to evaluate the function of the pituitary gland. The Prolactin test helps to investigate galactorrhea (unexplained flow of breast milk), abnormal discharge from nipples, irregular or absence of menstrual periods, and/or infertility in women. In men, this test helps to diagnose the cause of erectile dysfunction, decreased libido. This test also detects prolactinoma (a pituitary tumor that produces prolactin) and is also used to monitor the ongoing treatment of prolactinoma. The follicle-stimulating hormone (FSH) test is done: • In case of infertility issues in men and women • In case of irregular or absence of menstrual periods in women • In case of low sperm count, low muscle mass or decreased sex drive in men • In case of symptoms of pituitary, or hypothalamic disorder The Luteinizing Hormone (LH) test is done: • In case a woman is unable to get pregnant • In case of irregular or heavy menstrual periods in a woman • To track ovulation during the menstrual cycle • In case of males who have low sperm count, low muscle mass, or decreased sex drive • In case of symptoms of pituitary or hypothalamic disorder • In case of early or delayed puberty in children The Prolactin test is done: • In case of signs and symptoms of increased levels of prolactin • In case of infertility problems • In case of follow-up for treatment of macroprolactin • In case of low levels of testosterone in men • To detect and monitor prolactinoma
Read More","Test(s) Included (3)
FSH,LH & Prolactin, Serum
3 Tests Included"
322,cortisol serum morning sample 8 am ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Cortisol, Serum (Morning Sample 8 Am)
Test Overview
Sample Type Blood
Reports Delivery 21 Hrs
Price/Cost ₹830
Number of Tests Included 1
What is a Cortisol, Serum (Morning Sample 8 Am) Test?
A Cortisol, Serum (Morning Sample 8 AM) test measures the amount of cortisol in the blood. Cortisol is a steroid hormone produced by the adrenal glands, which are located on top of each kidney. This hormone plays a critical role in various bodily functions, including metabolism regulation, immune response, and stress response. The serum cortisol test, also known as the S. cortisol test, is typically performed in the morning around 8 AM. This timing is crucial because cortisol levels follow a diurnal pattern, peaking in the early morning and gradually declining throughout the day.



Read More","Test(s) Included (1)
Cortisol, Serum (Morning Sample 8 Am)
1 Test Included"
323,transferrin ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Transferrin Panel is a diagnostic blood test that measures the level of transferrin, a protein produced by the liver. The protein is responsible for transporting iron throughout the body. The test is used to diagnose anaemia and iron overload conditions such as hemochromatosis. It can also be used to monitor individuals with such conditions.
Symptoms
The symptoms of anaemia and iron overload conditions vary and may include:



















Read More","Test(s) Included (1)
TRANSFERRIN
1 Test Included"
324,follicle stimulating hormone fsh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Follicle-stimulating hormone (FSH) test helps to determine the fertility issues, helps to test the health of ovaries or testicles, and helps in checking the functioning of the pituitary gland. The follicle-stimulating hormone (FSH) test is done: • In case of infertility issues in men and women • In case of irregular or absence of menstrual periods in women • In case of low sperm count, low muscle mass or decreased sex drive in men • In case of symptoms of pituitary, or hypothalamic disorder
Read More","Test(s) Included (1)
FOLLICLE STIMULATING HORMONE (FSH)
1 Test Included"
325,free t4 ft4 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The free T4 test is also known as the free thyroxine test. It helps to evaluate the function of the thyroid gland, diagnose diseases of the thyroid, and monitor the effectiveness of ongoing thyroid treatment. It can also be used to diagnose congenital hypothyroidism in newborns sometimes. The Free T4 test is done: • In case of signs and symptoms of thyroid disease • In case of enlarged thyroid • In case of thyroid nodule • After an abnormal result on a TSH test • For ongoing thyroid disorder treatment
Read More","Test(s) Included (1)
FREE T4 (FT4)
1 Test Included"
326,ultrasensitive tsh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Ultrasensitive TSH also known as Ultrasensitive Thyroid Stimulating Hormone Test is also known as TSH or Thyrotropin test. This test measures the levels of Thyroid Stimulating Hormone (TSH) in the blood. TSH is produced by the anterior part of pituitary gland and its function is to stimulate the thyroid gland. The Ultrasensitive Thyroid Stimulating Hormone (TSH), Serum test is done: • To diagnose disorders of thyroid gland • To monitor the treatment of disorders of thyroid gland • To screen newborns for congenital hypothyroidism • In cases of signs and symptoms of thyroid disorders such as enlarged thyroid or presence of thyroid nodule
Read More","Test(s) Included (1)
ULTRASENSITIVE TSH
1 Test Included"
327,dehydroepiandrosterone sulphate dheas ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Dehydroepiandrosteronesulfate (DHEA-S) is a steroid hormone, produced mainly from the adrenal glands that are located over the both kidneys. Though it's an androgen hormone (a male sex hormone), it's produced by both men and women. This steroid hormone plays an important role in the making of testosterone in men and oestrogen in women. The test is used to evaluate the function of the adrenal glands, to detect cancers and tumours, male hypogonadism, virilisation (development of hair and male characteristics in women), acne, increased muscle mass, and irregular or absence of menstrual periods, polycystic ovary syndrome, development of early sexual characteristics in boys.
Read More","Test(s) Included (1)
Dehydroepiandrosterone Sulphate - (DHEAS)
1 Test Included"
328,cortisol serum random ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The hormone cortisol has a significant impact on physical and emotional states, like mood, motivation, and fear. It originates in the zona fasciculata of the adrenal or suprarenal glands. The endocrine glands on top of your kidneys also produce cortisol.
The steroid hormone is responsible for regulating the stress response of the human body. Hence it is also called the stress hormone. The hormone also has several significant functions, like:
Controlling the metabolism of carbohydrates, proteins, and fats 


Read More","Test(s) Included (1)
Cortisol, Serum (Random)
1 Test Included"
329,lh luteinizing hormone ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Luteinizing hormone is also known as Interstitial Cell Stimulating Hormone. This test helps to evaluate fertility issues. It helps in evaluating the health of reproductive organs (testicles or ovaries). In women, this test helps to determine ovulation time. This test also helps to evaluate the function of the pituitary gland. The Luteinizing Hormone (LH) test is done: • In case a woman is unable to get pregnant • In case of irregular or heavy menstrual periods in a woman • To track ovulation during the menstrual cycle • In case of males who have low sperm count, low muscle mass, or decreased sex drive • In case of symptoms of pituitary or hypothalamic disorder • In case of early or delayed puberty in children
Read More","Test(s) Included (1)
Luteinizing Hormone (LH)
1 Test Included"
330,testosterone total ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Testosterone, Total test helps to detect levels of testosterone in the blood. It helps to diagnose erectile dysfunction and infertility in males. In females, this test helps to diagnose the cause of virilization (masculine physical features), hirsutism (excess of body hair), infertility, and polycystic ovary syndrome. 
The top Testosterone, Total tests are available in Anna Nagar, Alwarpet, T. Nagar, Adyar, Velachery.
This test helps to determine the cause of early or delayed puberty or the cause of genitalia that are not clear if they are male or female in children.
Read More","Test(s) Included (1)
Testosterone, Total
1 Test Included"
331,testosterone free ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test calculates the amount of unattached, or free, testosterone there is in the blood. Testosterone is made in the testes (in men) and the ovaries (in women) and a small amount by the adrenal glands. Testosterone in men help’s bringing the changes after puberty like hair and muscle growth, penis and testes growth, deepening of voice, it boosts sex drive and helps make sperm. In women it helps in many organ and body processes. This test is used to detect the abnormal levels of testosterone. It is used to diagnose infertility, testicular tumours, ambiguous genitalia, erectile dysfunction, pituitary tumours in men, lack of menstruation, obesity, extra hair growth (especially on the face), appearance of masculine features in females and is an indicator for polycystic ovary syndrome (PCOS).
Read More","Test(s) Included (1)
Testosterone - Free
1 Test Included"
332,dihydro testosterone dht ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Dihydro Testosterone (DHT)
Test Overview
Sample Type Blood
Reports Delivery 5 days
Price/Cost ₹3700
Number of Tests Included 1
What is a Dihydro Testosterone (DHT) Test?
A dihydrotestosterone test is a type of blood examination that gauges the levels of the hormone dihydrotestosterone in your system. This hormone, commonly abbreviated as DHT, is an essential androgen or male sex hormone. It originates from the conversion of testosterone by an enzyme known as 5α-reductase. The DHT test effectively measures this hormone, providing invaluable insights into your health status.







Read More","Test(s) Included (1)
Dihydro Testosterone(DHT)
1 Test Included"
333,estradiol e2 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Estradiol (E2) Test
Test Overview
Sample Type Blood
Reports Delivery 48 Hrs
Price/Cost ₹790
Number of Tests Included 1
What is an Estradiol (E2) Test?
An estradiol test, also commonly referred to as an oestrogen test, is a diagnostic tool that helps measure the quantity of estradiol - a significant form of the female hormone, oestrogen - present in your blood. This estradiol serum test is primarily employed by doctors to assess various aspects of a person's reproductive health, screen for potential hormonal imbalances, and monitor ongoing fertility treatments. It is especially instrumental in evaluating medical conditions like menstrual irregularities, fertility issues and menopausal symptoms.
Read More","Test(s) Included (1)
ESTRADIOL (E2)
1 Test Included"
334,fsh lh ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Follicle-stimulating hormone (FSH) test helps to determine the fertility issues, helps to test the health of ovaries or testicles, and helps in checking the functioning of the pituitary gland. Luteinizing hormone is also known as Interstitial Cell Stimulating Hormone. Luteinizing hormone test helps to evaluate fertility issues. It helps in evaluating the health of reproductive organs (testicles or ovaries). In women, this test helps to determine ovulation time. This test also helps to evaluate the function of the pituitary gland. The follicle-stimulating hormone (FSH) test is done: • In case of infertility issues in men and women • In case of irregular or absence of menstrual periods in women • In case of low sperm count, low muscle mass or decreased sex drive in men • In case of symptoms of pituitary, or hypothalamic disorder The Luteinizing Hormone (LH) test is done: • In case a woman is unable to get pregnant • In case of irregular or heavy menstrual periods in a woman • To track ovulation during the menstrual cycle • In case of males who have low sperm count, low muscle mass, or decreased sex drive • In case of symptoms of pituitary or hypothalamic disorder • In case of early or delayed puberty in children
Read More","Test(s) Included (2)
FSH & LH, Serum
2 Tests Included"
335,unconjugated estriol ue3 ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Unconjugated Estradiol (UE3) is a routine second-trimester laboratory test used to measure the levels of unconjugated estriol in the blood of pregnant women. Congenital abnormalities and chromosomal variations in newborns are diagnosed by testing the estriol levels.

Estriol is produced by the placenta (a protective covering for the foetus) from maternal substrates (cholesterol and pregnenolone). Estriol diffuses from the placenta into the maternal blood, where it can be measured as unconjugated uE3. In normal pregnancies, uE3 levels increase from about 4 nmol/L at 15 weeks gestation to about 40 nmol/L at delivery. The test is mainly used to diagnose Down syndrome when the levels are lower than the standard threshold, which is 14.60 ng/ml in pregnant women. An abnormally low UE3 level can also indicate the possibility of aromatase deficiency, congenital adrenal hyperplasia, primary or secondary (including maternal corticosteroid therapy) foetal adrenal insufficiency and/or foetal demise.

The reasons for undergoing the Unconjugated Estradiol (UE3) test include:














Read More","Test(s) Included (1)
Unconjugated Estradiol(Ue3)
1 Test Included"
336,androstenedione ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Androstenedione is one of the many sex hormones responsible for sexual differentiation in males and females. This hormone is accountable for developing secondary male characteristics, like deep voice and facial hair.
The hormone is also a precursor of other major androgens in the body, such as testosterone, or it converts into estrogen. An androstenedione test measures the amount of hormone present in the blood.
Because of the origin of the hormone, androstenedione is a valuable marker of the adrenal gland and its function. Furthermore, it indicates the level of androgen production and proper functioning of ovaries and testicles.


Read More","Test(s) Included (1)
ANDROSTENEDIONE
1 Test Included"
